NUTS_ID,Year,weighted_avg_Total
AT12,2020,11.164
AT31,2020,7.3491137027657665
AT32,2020,10.236718604515609
AT33,2020,11.251293686576226
AT34,2020,9.163981214218659
BE10,2020,1.1315701636558768
BE21,2020,4.843007459329072
BE22,2020,4.699970662184633
BE23,2020,1.424175252711634
BE24,2020,1.601948551653199
BE25,2020,0.3169502889475466
BE31,2020,1.347173655586982
BE32,2020,3.1870675957724885
BE33,2020,6.429148698294148
BE34,2020,10.552039528188384
BE35,2020,8.174507864695892
CH01,2020,7.833145605492132
CH02,2020,7.681858991110639
CH03,2020,6.501987266703694
CH04,2020,6.440408707219576
CH05,2020,8.492399319189849
CH06,2020,6.814503747395711
CH07,2020,11.317891694493547
CZ01,2020,3.4857704179178324
CZ02,2020,5.279319457677887
CZ03,2020,8.237165979384127
CZ04,2020,8.57119729670909
CZ05,2020,6.90658668620356
CZ06,2020,5.976958814323005
CZ07,2020,7.238624451024654
CZ08,2020,5.408562082354829
DE11,2020,7.777095413796341
DE12,2020,8.360006031728906
DE13,2020,9.375157788633212
DE14,2020,6.933839763316048
DE21,2020,7.09361258931504
DE22,2020,5.983921395881421
DE23,2020,9.705435269400374
DE24,2020,9.291823185081913
DE25,2020,9.232900954513696
DE26,2020,8.035558151104382
DE27,2020,5.5729109598373014
DE30,2020,8.1374509473299
DE40,2020,7.232541328128865
DE50,2020,1.2800897813325085
DE60,2020,5.34062141331479
DE71,2020,7.506374286047924
DE72,2020,8.733717785650564
DE73,2020,8.460668652602756
DE80,2020,4.627705810554706
DE91,2020,7.365781863367871
DE92,2020,4.366873964759658
DE93,2020,7.093992420802986
DE94,2020,2.1297081609728776
DEA1,2020,2.687368617769459
DEA2,2020,5.621753595401427
DEA3,2020,3.4639648468395583
DEA4,2020,4.343562562002052
DEA5,2020,8.465481928496859
DEB1,2020,9.370153332324032
DEB2,2020,9.529674239857238
DEB3,2020,7.876489666317274
DEC0,2020,7.343381727553872
DED2,2020,6.395705026848497
DED4,2020,5.802249604144479
DED5,2020,3.2246396941784714
DEE0,2020,4.7861006690552825
DEF0,2020,2.3847122654666957
DEG0,2020,7.160414795665275
DK01,2020,2.198
DK03,2020,1.2452067787258423
ES11,2020,8.129997303998673
ES12,2020,11.33544957282828
ES13,2020,7.4807250938192675
ES21,2020,8.481398477602344
ES22,2020,8.26658581079294
ES23,2020,8.13758306306566
ES24,2020,5.874291553971735
ES30,2020,2.6151405961573158
ES41,2020,5.004863258166928
ES42,2020,3.8233268287303974
ES43,2020,1.6235799087339828
ES51,2020,9.080560017581021
ES52,2020,3.8060071165063474
ES61,2020,2.4693350595364114
ES62,2020,1.8853388199163446
FI19,2020,15.951894808114286
FI1B,2020,10.142980934812286
FI1C,2020,12.191151579835138
FI1D,2020,22.65821831052599
FR10,2020,4.009266881156812
FRB0,2020,5.249357174674805
FRC1,2020,6.947441670100034
FRC2,2020,11.40449356499345
FRD1,2020,1.4430732623355602
FRD2,2020,3.124896820663768
FRE1,2020,1.121039592524902
FRE2,2020,2.745569635359698
FRF1,2020,9.2773385957203
FRF2,2020,6.445602620999851
FRF3,2020,8.771666180690275
FRG0,2020,1.3586287935818326
FRH0,2020,2.2584359512581753
FRI1,2020,8.648865304705128
FRI2,2020,9.305218749890914
FRI3,2020,3.1633106433687055
FRJ1,2020,9.436668380818936
FRJ2,2020,6.772547806178182
FRK1,2020,10.031810060597403
FRK2,2020,9.699496948820842
FRL0,2020,9.479996335506183
FRM0,2020,4.646464319043336
ITC1,2020,11.873138113577516
ITC2,2020,7.967243896628226
ITC3,2020,13.61
ITC4,2020,10.410302089950811
ITH1,2020,4.303444693506784
ITH2,2020,15.844
LI00,2020,9.660287678137024
LT02,2020,3.9534024965951646
LU00,2020,7.8877979126359925
NL11,2020,0.9402888248559692
NL12,2020,1.2772132505951328
NL13,2020,3.121514818594143
NL21,2020,3.2139438649246195
NL22,2020,5.489117603174121
NL23,2020,3.8728688974577445
NL32,2020,1.1331450751382772
NL34,2020,1.21236081600601
NL35,2020,3.022521970889067
NL36,2020,0.8251716849910972
NL41,2020,3.2915376158938856
NL42,2020,3.9974881203553534
NO02,2020,5.285205102832991
NO06,2020,1.612926015300742
NO07,2020,0.40117492587332415
NO08,2020,5.650608602551412
PL21,2020,6.503380209909873
PL22,2020,7.024572487807223
PL41,2020,5.436492862053578
PL42,2020,7.318584858057467
PL43,2020,10.934661879747384
PL51,2020,5.915855995941083
PL52,2020,7.333932572704717
PL61,2020,4.787598199995248
PL62,2020,5.512440938518343
PL63,2020,7.592743222493962
PL71,2020,4.197121706910491
PL72,2020,5.293298882166671
PL81,2020,5.342354702654991
PL82,2020,7.002225711300689
PL84,2020,6.12499976372095
PL91,2020,4.918067824618779
PL92,2020,5.071912406225185
PT11,2020,5.661719553378111
PT15,2020,0.806
PT19,2020,2.9029377504730487
PT1C,2020,1.3746741891488756
SE11,2020,9.114476308719766
SE12,2020,12.162042068586468
SE21,2020,16.34468574726065
SE22,2020,9.095209855200789
SE23,2020,12.42272051233779
SE31,2020,19.904584589012416
SE32,2020,20.50222904397828
SE33,2020,19.73706369648713
SK02,2020,11.818251800896835
SK03,2020,10.226509440421818
SK04,2020,10.475126202395174
